Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
0a83a6a2c3d3eae21b28b3deaed2405c	Bacteria	NA	NA	NA	NA	NA	NA	100	25	25	25	25	25	25	GTDB r207
d69f6e4ae63c83345a951c3b0c58d3a8	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	JACTMZ01	JACTMZ01	JACTMZ01 sp018883245	100	100	100	100	100	100	99	GTDB r207
5abfc70b91e1369c0931da145c3e0bda	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	JACTMZ01	JACTMZ01	JACTMZ01 sp018883245	100	100	100	100	100	100	98	GTDB r207
76d488f13b562d04821df4066b77a4aa	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Vulcanococcus	NA	100	100	100	100	100	98	47	GTDB r207
4fe5ad325d5342ea1025e2edddb53cf8	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA6186	UBA6186	UBA6186	UBA6186 sp903827925	100	100	100	100	100	100	100	GTDB r207
3b560bf622ec57526e933cabe1118393	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio	Aliivibrio sp024206155	100	100	100	100	100	100	100	GTDB r207
09c7d2a18590d40816387891ac0b66f7	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	90	37	37	GTDB r207
f57fb112889e871395dcc083be8d43b3	Bacteria	Chloroflexota	Anaerolineae	Promineifilales	Promineifilaceae	NA	NA	100	100	100	100	100	73	52	GTDB r207
f7141ab986f63148d1ac942cc69c4872	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA	100	100	100	100	100	45	45	GTDB r207
304d780b7296a8786755da3fa3e846f2	Bacteria	NA	NA	NA	NA	NA	NA	87	5	4	4	4	4	4	GTDB r207
d8db1fa425cdf08a16fb50100d950b17	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	100	100	100	100	100	51	51	GTDB r207
d24f0b4fc45f4ebb9b1714cf3f835ecd	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber	100	100	100	100	100	100	100	GTDB r207
8ed10589bcc7e1f7b862028890971ca7	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	100	100	100	100	100	26	23	GTDB r207
675f11d0669195f5e4dea4b5940ce60b	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	NA	NA	100	100	100	100	100	55	26	GTDB r207
5818c8bcbbf9ea7e4b22c553ee70eb0b	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Demequinaceae	Demequina	NA	100	100	100	100	100	100	51	GTDB r207
6de2dbcf0ea0157ec5b30d59fc98d4c1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	SKKK01	SKKK01 sp023382975	100	100	100	100	100	100	100	GTDB r207
7b74f125b9727b6d93d591d47214c6da	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	NA	100	100	100	100	100	98	73	GTDB r207
a14001a441f640c1c37b8703b388a54f	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	Caldilinea	Caldilinea sp020634815	100	100	100	100	100	100	100	GTDB r207
a17c4e3bc1d23da64f2771ff13190018	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	Gemmobacter aquaticus	100	100	100	100	100	100	100	GTDB r207
363e6075698ba2fba89cd9d0b8c4b362	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA2174_A	SpSt-501	SpSt-501 sp030834695	100	100	100	100	100	100	100	GTDB r207
5ff9467e0518046012e28278d2c6e854	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA	100	100	100	55	55	55	55	GTDB r207
6d0d557d3cf596d213e310bf840dd07e	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	100	100	100	100	100	61	61	GTDB r207
10c8ff45ea1a8d0c87a9f744f381523e	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	100	100	100	100	100	22	22	GTDB r207
bf6a56170578bf2a585e48d96b342221	Bacteria	Actinomycetota	Actinomycetes	NA	NA	NA	NA	100	100	100	62	48	39	35	GTDB r207
69e479959df2e938dcf96e6b7c4e1f4b	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anammoximicrobium	Anammoximicrobium sp012515235	100	100	100	100	100	100	100	GTDB r207
2c4ed439b5bd281f80630c55be83f487	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JACJZS01	JACJZS01 sp020635515	100	100	100	100	100	100	100	GTDB r207
b1b5332bb3b9b6f4c0cdf760541f27d4	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA	100	92	92	92	92	22	19	GTDB r207
793b48fd7d4c3d35f7c93a68762b36d4	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	ZLKRG44	ZLKRG44 sp018882625	100	100	100	100	100	100	100	GTDB r207
505bd1ec5d72a842ac7106d941d46db0	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	100	100	100	100	100	100	90	GTDB r207
42ed73d29e7793314eaf906c2be8109b	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	JACQGT01	JACQGT01 sp019637685	100	100	100	100	100	100	100	GTDB r207
90ecb7ee2e24af8219b848ad293ed2f7	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	NA	100	100	100	100	100	97	65	GTDB r207
8f40b2fb877f2f950888858080f1aad1	Bacteria	Bacteroidota	Kapaibacteriia	Kapaibacteriales	Kapaibacteriaceae	UBA10438	NA	100	100	100	100	100	80	39	GTDB r207
e7cd88a42bb377c8b3b5e5207e6be458	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	NA	NA	100	100	100	100	100	69	69	GTDB r207
b617dc4097f5a6bc79de71a3a5dfa9df	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	80	80	75	61	61	61	GTDB r207
8705bd2130a1c08c10a118dc270cc6ea	Bacteria	NA	NA	NA	NA	NA	NA	100	70	70	70	70	70	70	GTDB r207
7ad8999c7988cbf083f0ec4fcb0919e6	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	70-9	67-14	NA	100	100	100	100	100	100	76	GTDB r207
da7eaa61e69610bcdafb578831ed792d	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Micrococcus	NA	100	100	100	100	100	100	77	GTDB r207
cbb083c6aa0d2ccdc69b8d7c76ae76dd	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	JACTMZ01	JACTMZ01	JACTMZ01 sp018883245	100	100	100	100	100	100	89	GTDB r207
acc7edfa1ffd34a0e523bc118299e4be	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	100	100	100	33	17	17	GTDB r207
1b1fa401f4cd553ddf123f54fda83a39	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis	100	100	100	100	100	100	100	GTDB r207
9792c337977edea80ad91e4300bb803e	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA	NA	100	100	100	100	50	15	8	GTDB r207
